Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
149.536;32942;;180s;Yes;No;3;0.48532;0.87518;0.14878;0.22578;2.08102;Caduceus@0;Caduceus@1;Caduceus@2;0.7205257594663362;0.48531973325047706;0.8751771931583571;0.7205257594663362;0.48531973325047706;0.8751771931583571;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;46679;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@6;Caduceus@7;Caduceus@8;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
149.505;36622;;180s;Yes;No;3;0.73113;0.76418;0.00000;0.22552;2.24945;ParsCat@12;Caduceus@13;Caduceus@14;0.754142095414166;0.7311298907578463;0.7641780072253322;0.754142095414166;0.7311298907578463;0.7641780072253322;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;46892;;180s;No;No;2;0.00000;0.00000;1.14280;1.43014;0.00000;Caduceus@18;YXAgent@19;Caduceus@20;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;66635;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@24;YXAgent@25;Caduceus@26;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
167.434;50830;;180s;Yes;No;3;0.63854;0.82391;0.00000;0.26270;2.27036;ParsCat@30;YXAgent@31;Caduceus@32;0.6385368385324051;0.807916129830899;0.8239084414836538;0.6385368385324051;0.807916129830899;0.8239084414836538;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
164.145;39181;;180s;Yes;No;3;0.73113;0.76418;0.00000;0.22552;2.24945;Caduceus@36;ParsCat@37;Caduceus@38;0.754142095414166;0.7311298907578463;0.7641780072253322;0.754142095414166;0.7311298907578463;0.7641780072253322;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.158;52619;;180s;Yes;No;3;0.69502;0.85701;0.00000;0.12265;2.37235;YXAgent@42;ParsCat@43;Caduceus@44;0.8203245225324266;0.6950202892578486;0.8570063113138096;0.8203245225324266;0.6950202892578486;0.8570063113138096;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.074;44490;;180s;Yes;No;3;0.70120;0.86429;0.00000;0.15866;2.28503;ParsCat@48;ParsCat@49;Caduceus@50;0.701201692505366;0.7195440105141017;0.8642892810483591;0.701201692505366;0.7195440105141017;0.8642892810483591;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
150.275;44201;;180s;Yes;No;3;0.70835;0.81479;0.00000;0.17172;2.27992;Caduceus@54;Caduceus@55;YXAgent@56;0.7567717927092927;0.7083543012151912;0.814788923220578;0.7567717927092927;0.7083543012151912;0.814788923220578;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;69180;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@60;Caduceus@61;YXAgent@62;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
150.760;49346;;180s;Yes;No;3;0.70835;0.81479;0.00000;0.17172;2.27992;ParsCat@66;Caduceus@67;YXAgent@68;0.7567717927092927;0.7083543012151912;0.814788923220578;0.7567717927092927;0.7083543012151912;0.814788923220578;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;68759;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;Caduceus@72;YXAgent@73;YXAgent@74;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;113873;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@78;YXAgent@79;YXAgent@80;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
166.884;71159;;180s;Yes;No;3;0.63854;0.82391;0.00000;0.26270;2.27036;ParsCat@84;YXAgent@85;YXAgent@86;0.6385368385324051;0.807916129830899;0.8239084414836538;0.6385368385324051;0.807916129830899;0.8239084414836538;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
164.789;52267;;180s;Yes;No;3;0.70835;0.81479;0.00000;0.17172;2.27992;Caduceus@90;ParsCat@91;YXAgent@92;0.7567717927092927;0.7083543012151912;0.814788923220578;0.7567717927092927;0.7083543012151912;0.814788923220578;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.368;79213;;180s;Yes;No;3;0.69502;0.85701;0.00000;0.12265;2.37235;YXAgent@96;ParsCat@97;YXAgent@98;0.8203245225324266;0.6950202892578486;0.8570063113138096;0.8203245225324266;0.6950202892578486;0.8570063113138096;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
143.545;54599;;180s;Yes;No;3;0.70835;0.81479;0.00000;0.17172;2.27992;ParsCat@102;ParsCat@103;YXAgent@104;0.7567717927092927;0.7083543012151912;0.814788923220578;0.7567717927092927;0.7083543012151912;0.814788923220578;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
150.214;38334;;180s;Yes;No;3;0.70120;0.86429;0.00000;0.15866;2.28503;Caduceus@108;Caduceus@109;ParsCat@110;0.701201692505366;0.7195440105141017;0.8642892810483591;0.701201692505366;0.7195440105141017;0.8642892810483591;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.673;53231;;180s;Yes;No;3;0.69865;0.85568;0.00000;0.28571;2.26935;YXAgent@114;Caduceus@115;ParsCat@116;0.8556804829608448;0.7150176553198933;0.6986527313839865;0.8556804829608448;0.7150176553198933;0.6986527313839865;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
150.121;41875;;180s;Yes;No;3;0.70558;0.84891;0.00000;0.13251;2.34303;ParsCat@120;Caduceus@121;ParsCat@122;0.7885481576208597;0.7055760777345808;0.8489056772467;0.7885481576208597;0.7055760777345808;0.8489056772467;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
